"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.617152480E-1,3.273022175E-2,-9.871274233E-3,6.155586243E-2
8.718165670E-1,1.790547371E-2,2.005855739E-2,-1.736736298E-2
8.818873670E-1,1.675868034E-2,2.688260376E-2,5.413818359E-2
8.919581680E-1,2.648377419E-2,1.962809265E-2,1.527719498E-1
9.020289690E-1,3.755235672E-2,7.233947515E-3,9.339141846E-2
9.120997700E-1,3.572690487E-2,2.247706056E-3,-4.074954987E-2
9.221705700E-1,8.992314339E-3,-6.564706564E-3,-2.568721771E-2
9.322413710E-1,1.468646526E-2,-2.673318982E-2,9.074115753E-2
9.423426900E-1,7.460355759E-3,-2.783535421E-2,7.721233368E-2
9.524134900E-1,-1.055252552E-2,-3.130376339E-2,-2.584648132E-2
9.624842910E-1,-2.233743668E-2,-4.395830631E-2,-3.006553650E-2
9.725550920E-1,-2.267193794E-2,-4.241804779E-2,4.617118835E-2
9.826258930E-1,-4.073834419E-2,-4.865542054E-2,2.863693237E-2
9.926966940E-1,-4.196310043E-2,-2.681051195E-2,-5.229473114E-2
1.002767494E0,-3.016293049E-2,-1.456944644E-2,-3.463172913E-2
1.012868813E0,4.792451859E-3,-1.193767786E-2,3.464031219E-2
1.022939613E0,1.373577118E-2,-4.035952687E-2,6.005668640E-2
1.033010414E0,2.712261677E-2,-4.243105650E-2,8.047199249E-2
1.043081215E0,3.253030777E-2,-1.811966300E-3,1.337099075E-1
1.053152016E0,6.188821793E-2,-4.735365510E-3,1.196851730E-1
1.063222817E0,4.924178123E-2,1.592859626E-3,4.431152344E-2
1.073293617E0,5.113875866E-2,2.429240942E-2,8.148193359E-3
1.083394936E0,4.068624973E-2,3.025972843E-2,5.534744263E-2
1.093465736E0,3.280639648E-2,2.429850399E-2,1.111278534E-1
1.103536537E0,1.615393162E-2,1.807866991E-2,4.761028290E-2
1.113607338E0,4.684090614E-3,4.042248428E-2,-3.829097748E-2
1.123678139E0,-1.179385185E-2,3.659830987E-2,-7.067775726E-2
1.133748940E0,-9.464740753E-3,3.575713933E-2,-2.206897736E-2
1.143819740E0,-1.905560493E-2,3.038658202E-2,5.870056152E-2
1.153921059E0,-1.226997375E-2,1.095113158E-2,4.591751099E-2
1.163991860E0,-3.264784813E-3,-8.212655783E-3,1.688289642E-2
1.174062660E0,8.152484894E-3,-5.965545774E-3,-2.247810364E-3
1.184133461E0,1.235711575E-2,-2.262017131E-2,2.824592590E-2
1.194204262E0,2.304315567E-3,-1.755286753E-2,2.556991577E-2
1.204275063E0,1.871228218E-3,-2.913658321E-2,3.466510773E-2
1.214345863E0,-8.067727089E-3,-2.871569991E-2,3.653907776E-2
1.224447182E0,-2.027451992E-2,-1.667982340E-2,3.125286102E-2
1.234517983E0,-1.562118530E-2,-1.897843182E-2,8.296966553E-5
1.244588783E0,-1.357805729E-2,-1.159130037E-2,1.674938202E-2
1.254659584E0,-7.084965706E-3,-1.622225344E-2,7.102680206E-2
1.264730385E0,8.926987648E-3,-2.084206045E-2,8.880996704E-2
1.274801186E0,1.565289497E-2,-4.539504647E-3,7.793140411E-2
1.284871986E0,8.322954178E-3,4.367128015E-3,2.005958557E-2
1.294973305E0,7.851123810E-4,-3.466755152E-3,2.688789368E-2
1.305044106E0,1.974499226E-2,-1.477897167E-3,4.059505463E-2
1.315114906E0,1.519453526E-2,1.927402616E-2,2.325439453E-2
1.325185707E0,2.018237114E-2,6.872907281E-3,8.620262146E-3
